,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
135,AAPL,171, $114.61 ,"August 17, 2020 at 12:00:00 AM",AAPL,171, $114.35 ,"August 18, 2020 at 12:00:00 AM",-0.222496135,-43.60453033
136,AAPL,169, $115.56 ,"August 18, 2020 at 12:00:00 AM",AAPL,169, $128.70 ,"August 24, 2020 at 12:00:00 AM",11.36613911,2219.814072
137,MSFT,102, $213.69 ,"August 24, 2020 at 12:00:00 AM",MSFT,102, $213.10 ,"August 25, 2020 at 12:00:00 AM",-0.276099177,-60.17962646
138,MSFT,100, $216.47 ,"August 25, 2020 at 12:00:00 AM",MSFT,100, $228.18 ,"August 28, 2020 at 12:00:00 AM",5.409521591,1170.999146
139,AAPL,184, $124.81 ,"August 28, 2020 at 12:00:00 AM",AAPL,184, $132.76 ,"September 01, 2020 at 12:00:00 AM",6.371805849,1463.258484
140,AAPL,182, $134.18 ,"September 01, 2020 at 12:00:00 AM",AAPL,182, $126.91 ,"September 03, 2020 at 12:00:00 AM",-5.418087204,-1323.138
141,AAPL,191, $120.88 ,"September 03, 2020 at 12:00:00 AM",AAPL,191, $120.07 ,"September 04, 2020 at 12:00:00 AM",-0.670084031,-154.7095337
142,AAPL,189, $120.96 ,"September 04, 2020 at 12:00:00 AM",AAPL,189, $113.95 ,"September 08, 2020 at 12:00:00 AM",-5.795306043,-1324.890404
143,AAPL,191, $112.82 ,"September 08, 2020 at 12:00:00 AM",AAPL,191, $120.36 ,"September 10, 2020 at 12:00:00 AM",6.683213026,1440.140175
144,QCOM,205, $112.44 ,"September 10, 2020 at 12:00:00 AM",QCOM,205, $111.92 ,"September 17, 2020 at 12:00:00 AM",-0.462472662,-106.6008759
145,QCOM,199, $114.88 ,"September 17, 2020 at 12:00:00 AM",QCOM,199, $109.16 ,"September 21, 2020 at 12:00:00 AM",-4.979103176,-1138.278725
146,QCOM,194, $111.92 ,"September 21, 2020 at 12:00:00 AM",QCOM,194, $109.39 ,"September 24, 2020 at 12:00:00 AM",-2.260542191,-490.8197632
147,QCOM,190, $112.19 ,"September 24, 2020 at 12:00:00 AM",QCOM,190, $118.14 ,"September 29, 2020 at 12:00:00 AM",5.30350015,1130.49942
148,QCOM,191, $117.38 ,"September 29, 2020 at 12:00:00 AM",QCOM,191, $116.78 ,"October 02, 2020 at 12:00:00 AM",-0.511159046,-114.5997086
149,AAPL,197, $113.02 ,"October 02, 2020 at 12:00:00 AM",AAPL,197, $120.06 ,"October 12, 2020 at 12:00:00 AM",6.228987015,1386.88018
150,AAPL,190, $124.40 ,"October 12, 2020 at 12:00:00 AM",AAPL,190, $121.00 ,"October 14, 2020 at 12:00:00 AM",-2.733120164,-646.0002899
151,AAPL,190, $121.19 ,"October 14, 2020 at 12:00:00 AM",AAPL,190, $118.72 ,"October 15, 2020 at 12:00:00 AM",-2.038122923,-469.3002319
152,AAPL,187, $120.71 ,"October 15, 2020 at 12:00:00 AM",AAPL,187, $119.96 ,"October 19, 2020 at 12:00:00 AM",-0.621323839,-140.25
153,AAPL,193, $115.98 ,"October 19, 2020 at 12:00:00 AM",AAPL,193, $114.01 ,"October 26, 2020 at 12:00:00 AM",-1.698569722,-380.2102356
154,MSFT,105, $210.08 ,"October 26, 2020 at 12:00:00 AM",MSFT,105, $207.67 ,"October 28, 2020 at 12:00:00 AM",-1.147183759,-253.0503845
155,QCOM,179, $121.58 ,"October 28, 2020 at 12:00:00 AM",QCOM,179, $129.32 ,"November 04, 2020 at 12:00:00 AM",6.36618307,1385.460983
156,AAPL,195, $119.03 ,"November 05, 2020 at 12:00:00 AM",AAPL,195, $118.32 ,"November 06, 2020 at 12:00:00 AM",-0.596487517,-138.4498215
157,AAPL,194, $118.69 ,"November 06, 2020 at 12:00:00 AM",AAPL,194, $115.55 ,"November 10, 2020 at 12:00:00 AM",-2.645546655,-609.1598816
158,AAPL,193, $115.97 ,"November 10, 2020 at 12:00:00 AM",AAPL,193, $113.91 ,"November 24, 2020 at 12:00:00 AM",-1.776319339,-397.5795288
159,QCOM,151, $145.93 ,"November 24, 2020 at 12:00:00 AM",QCOM,151, $145.49 ,"November 27, 2020 at 12:00:00 AM",-0.301505657,-66.43806458
