,,,,,,,,Death Cross Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
79,,QCOM,45.560001373291016,53.5,303.0,7.939998626708984,17.427564502585177,,,,,,,,,,,,,,
80,,AAPL,5.679643154144287,5.728570938110352,2859.0,0.04892778396606445,0.8614587684151095,,,,,,,,,,,,,,
81,,PEP,67.22000122070312,67.9800033569336,243.0,0.7600021362304688,1.1306190455652585,,,,,,,,,,,,,,
82,,INTC,23.020000457763672,23.739999771118164,719.0,0.7199993133544922,3.1277119853908033,,,,,,,,,,,,,,
83,,AAPL,6.055356979370117,6.197143077850342,2821.0,0.1417860984802246,2.3414985931180117,,,,,,,,,,,,,,
84,,AAPL,6.31178617477417,6.356429100036621,2770.0,0.04464292526245117,0.707294639366462,,,,,,,,,,,,,,
85,,AAPL,6.403571128845215,3.557142972946167,2749.0,-2.846428155899048,-44.45063697469004,,,,,,,,,,,,,,
86,,AAPL,3.4785709381103516,3.563570976257324,2812.0,0.08500003814697266,2.443533268668853,,,,,,,,,,,,,,
87,,MSFT,23.360000610351562,23.690000534057617,429.0,0.3299999237060547,1.4126708693655647,,,,,,,,,,,,,,
88,,QCOM,38.2599983215332,,,,,,,,,,,,,,,,,,
